epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.411,0.74032,6.52015,0.00786,0.00185,0.35386,0.00148,0.00103,0.78057,10.7107,0.01104,5.716e-05,5.716e-05,5.716e-05
2,198.681,0.69953,7.37106,0.00666,0.00251,0.64734,0.04632,0.04164,0.80661,10.5038,0.01097,0.000127337,0.000127337,0.000127337
3,261.25,0.58291,5.42561,0.00457,0.00252,0.72826,0.03772,0.03631,0.75875,10.439,0.01102,0.000196099,0.000196099,0.000196099
4,323.005,0.49501,5.03944,0.00403,0.00311,0.80072,0.05149,0.04637,0.75886,10.3664,0.01091,0.000263446,0.000263446,0.000263446
5,383.199,0.57552,5.52891,0.00496,0.00323,0.8442,0.11776,0.10655,0.71199,10.259,0.01011,0.000329379,0.000329379,0.000329379
6,447.254,0.6216,4.81067,0.00524,0.00305,0.8442,0.11727,0.10583,0.72689,10.2478,0.00959,0.000393897,0.000393897,0.000393897
7,514.181,0.57705,4.96897,0.00474,0.00305,0.84903,0.21176,0.18652,0.75875,10.1907,0.00974,0.000457,0.000457,0.000457
8,577.438,0.59932,4.60577,0.00515,0.00311,0.8442,0.35112,0.30362,0.7921,10.1669,0.01005,0.000518688,0.000518688,0.000518688
9,641.667,0.54314,4.68149,0.00464,0.00332,0.82971,0.21186,0.18842,0.78988,10.0545,0.01118,0.000578962,0.000578962,0.000578962
10,705.753,0.64848,4.62119,0.00673,0.00355,0.82005,0.18342,0.15859,0.80068,10.0111,0.01161,0.000637821,0.000637821,0.000637821
11,768.841,0.56899,4.24878,0.0053,0.004,0.7971,0.18782,0.16479,0.81601,9.94511,0.01225,0.000695266,0.000695266,0.000695266
12,832.64,0.62424,4.31859,0.00554,0.00428,0.82971,0.26691,0.23614,0.81766,9.73037,0.01146,0.000751295,0.000751295,0.000751295
13,896.772,0.62042,4.40081,0.00619,0.00433,0.83454,0.31583,0.27065,0.8682,9.68561,0.01245,0.00080591,0.00080591,0.00080591
14,960.183,0.5924,3.69415,0.0052,0.00386,0.82971,0.35612,0.31499,0.88804,9.47753,0.01302,0.000859111,0.000859111,0.000859111
15,1024.31,0.66923,3.88306,0.00609,0.00414,0.83454,0.34847,0.30564,0.94165,9.33924,0.01401,0.000910896,0.000910896,0.000910896
16,1089.47,0.64402,3.57322,0.00569,0.57996,0.19818,0.3573,0.31277,0.9278,9.22739,0.0144,0.000961267,0.000961267,0.000961267
17,1153.32,0.65064,3.77047,0.00585,0.65868,0.08816,0.35609,0.30691,0.96066,9.12674,0.01472,0.00101022,0.00101022,0.00101022
18,1216.15,0.6023,3.58604,0.00577,0.68754,0.1203,0.37094,0.32505,0.95892,8.95639,0.01485,0.00105776,0.00105776,0.00105776
19,1278.4,0.62367,3.42676,0.00557,0.69167,0.14855,0.30496,0.2737,0.92302,8.74764,0.01417,0.00110389,0.00110389,0.00110389
20,1341.98,0.64803,3.30646,0.00588,0.62258,0.21199,0.33609,0.29345,0.92717,8.53445,0.01457,0.0011486,0.0011486,0.0011486
21,1407.37,0.5589,3.0386,0.00468,0.51298,0.23332,0.34064,0.28211,1.00463,8.52911,0.01552,0.00114606,0.00114606,0.00114606
